,BeginDate,EndDate,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,gender,SeniorCitizen,Partner,Dependents,MultipleLines,TenureMonths,ChargeGroup
1339,2014-05-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),105.0,7133.25,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,67,Very High
1340,2020-02-01,,Two year,No,Credit card (automatic),56.05,56.05,0,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,0,Yes,Yes,Unknown,0,Medium
1341,2019-07-01,2019-10-01,Month-to-month,Yes,Credit card (automatic),54.7,169.45,1,DSL,No,No,No,No,Yes,No,Male,0,No,Yes,No,3,Medium
1342,2019-06-01,,Two year,No,Mailed check,20.0,141.6,0,No,No,No,No,No,No,No,Female,0,No,No,No,8,Low
1343,2014-10-01,,One year,Yes,Credit card (automatic),73.05,4688.65,0,DSL,Yes,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,65,High
1344,2017-10-01,,Month-to-month,No,Mailed check,20.5,563.05,0,No,No,No,No,No,No,No,Female,0,Yes,No,No,28,Low
1345,2015-05-01,,One year,Yes,Credit card (automatic),100.75,5985.0,0,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,58,Very High
1346,2018-09-01,2019-11-01,Month-to-month,Yes,Electronic check,87.25,1258.6,1,Fiber optic,No,No,Yes,No,No,Yes,Female,0,Yes,Yes,Yes,14,High
1347,2018-07-01,,Two year,Yes,Mailed check,19.95,373.5,0,No,No,No,No,No,No,No,Male,0,No,No,No,19,Low
1348,2019-01-01,2019-11-01,Month-to-month,Yes,Electronic check,79.95,857.2,1,Fiber optic,No,No,No,No,Yes,No,Male,0,Yes,No,No,10,High
1349,2015-11-01,,Month-to-month,Yes,Electronic check,49.65,2553.35,0,DSL,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Unknown,52,Medium
1350,2014-07-01,,Two year,No,Mailed check,65.65,4322.85,0,DSL,Yes,Yes,Yes,No,No,No,Female,0,Yes,No,Yes,68,Medium
1351,2019-03-01,,Month-to-month,Yes,Electronic check,20.45,250.8,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,No,11,Low
1352,2014-02-01,,Two year,No,Bank transfer (automatic),60.95,4549.05,0,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Unknown,73,Medium
1353,2014-08-01,,One year,Yes,Electronic check,20.35,1359.5,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,No,67,Low
1354,2018-06-01,2019-12-01,Month-to-month,Yes,Electronic check,88.35,1639.3,1,Fiber optic,No,No,No,Yes,Yes,No,Female,0,No,No,Yes,18,High
1355,2019-05-01,,Month-to-month,Yes,Electronic check,19.5,178.85,0,No,No,No,No,No,No,No,Female,0,No,No,No,9,Low
1356,2019-05-01,,Month-to-month,Yes,Credit card (automatic),75.2,633.85,0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,9,High
1357,2016-02-01,,Month-to-month,Yes,Bank transfer (automatic),111.45,5315.1,0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,49,Very High
1358,2019-04-01,,Month-to-month,No,Mailed check,70.15,735.5,0,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,10,High
1359,2019-01-01,2019-10-01,Month-to-month,Yes,Electronic check,94.75,889.9,1,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,9,Very High
1360,2018-09-01,2019-10-01,Month-to-month,Yes,Electronic check,95.05,1290.0,1,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,Yes,13,Very High
1361,2019-06-01,2019-10-01,Month-to-month,No,Electronic check,78.45,330.05,1,Fiber optic,No,Yes,No,No,No,No,Male,0,No,No,Yes,4,High
1362,2019-07-01,2019-11-01,Month-to-month,Yes,Electronic check,70.2,237.95,1,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,4,High
1363,2014-02-01,,Two year,No,Bank transfer (automatic),92.0,6474.4,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,73,High
1364,2015-11-01,,Two year,No,Credit card (automatic),85.5,4421.95,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,52,High
1365,2014-12-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),41.05,2452.7,1,DSL,No,Yes,No,No,No,Yes,Male,0,Yes,No,Unknown,60,Low
1366,2019-01-01,2019-11-01,Month-to-month,Yes,Electronic check,85.6,813.85,1,Fiber optic,No,No,No,No,Yes,No,Male,0,Yes,No,Yes,10,High
1367,2015-01-01,,Month-to-month,Yes,Electronic check,82.15,4904.85,0,Fiber optic,No,Yes,No,No,No,No,Male,1,Yes,No,Yes,62,High
1368,2015-08-01,,One year,No,Electronic check,84.4,4484.05,0,Fiber optic,Yes,No,Yes,Yes,No,No,Male,0,No,No,No,55,High
1369,2017-05-01,,Month-to-month,Yes,Mailed check,60.9,2033.85,0,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,Yes,34,Medium
1370,2017-11-01,,Two year,Yes,Bank transfer (automatic),20.25,538.2,0,No,No,No,No,No,No,No,Female,0,No,No,No,27,Low
1371,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,79.2,79.2,1,Fiber optic,No,No,No,No,Yes,No,Female,1,No,No,No,1,High
1372,2018-03-01,,Month-to-month,No,Mailed check,95.3,2192.9,0,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,No,23,Very High
1373,2020-01-01,,Month-to-month,No,Mailed check,19.85,19.85,0,No,No,No,No,No,No,No,Male,0,No,Yes,No,1,Low
1374,2016-05-01,,Two year,Yes,Mailed check,84.35,3858.05,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,46,High
1375,2016-11-01,,Two year,Yes,Bank transfer (automatic),19.85,854.8,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,40,Low
1376,2019-07-01,2019-12-01,One year,Yes,Mailed check,70.0,347.4,1,DSL,No,No,Yes,No,Yes,Yes,Male,0,No,No,No,5,High
1377,2014-02-01,,Two year,No,Bank transfer (automatic),82.3,5815.15,0,DSL,Yes,Yes,Yes,Yes,Yes,No,Male,0,Yes,Yes,Yes,73,High
1378,2015-04-01,,Month-to-month,Yes,Bank transfer (automatic),66.8,3970.4,0,DSL,No,Yes,No,No,Yes,No,Female,0,Yes,Yes,Yes,59,Medium
1379,2014-04-01,,Two year,Yes,Bank transfer (automatic),44.6,3058.15,0,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,No,No,Unknown,71,Medium
1380,2015-01-01,,One year,Yes,Bank transfer (automatic),98.45,6145.2,0,Fiber optic,No,Yes,No,Yes,Yes,Yes,Male,0,Yes,Yes,No,62,Very High
1381,2019-12-01,,Month-to-month,No,Mailed check,70.7,129.2,0,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,2,High
1382,2016-04-01,,One year,No,Mailed check,24.95,1165.9,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,47,Low
1383,2019-12-01,2020-01-01,Month-to-month,Yes,Bank transfer (automatic),49.95,49.95,1,DSL,No,No,No,No,No,No,Female,0,No,No,Yes,1,Medium
1384,2018-03-01,2020-01-01,Month-to-month,Yes,Electronic check,69.25,1554.0,1,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,22,High
1385,2016-02-01,,Two year,Yes,Credit card (automatic),102.5,4904.25,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Female,0,No,No,No,49,Very High
1386,2014-10-01,,Two year,No,Credit card (automatic),86.55,5632.55,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,65,High
1387,2014-02-01,,Two year,No,Bank transfer (automatic),24.3,1643.25,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,73,Low
1388,2019-02-01,,Month-to-month,Yes,Credit card (automatic),58.35,740.55,0,DSL,No,No,Yes,No,Yes,No,Female,0,Yes,Yes,No,12,Medium
1389,2017-02-01,2019-12-01,Month-to-month,Yes,Electronic check,94.25,3217.55,1,Fiber optic,No,Yes,Yes,No,No,Yes,Female,1,Yes,No,Yes,34,Very High
1390,2014-02-01,,Two year,No,Credit card (automatic),68.75,4888.2,0,DSL,Yes,Yes,Yes,No,No,Yes,Female,0,Yes,Yes,No,73,High
1391,2017-09-01,,Month-to-month,Yes,Electronic check,85.8,2440.25,0,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,No,Yes,29,High
1392,2017-05-01,,One year,No,Credit card (automatic),20.1,620.55,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,No,34,Low
1393,2020-01-01,,Month-to-month,No,Mailed check,20.35,20.35,0,No,No,No,No,No,No,No,Female,0,No,No,No,1,Low
1394,2014-12-01,,One year,Yes,Electronic check,110.8,6840.95,0,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,63,Very High
1395,2016-08-01,2020-01-01,One year,Yes,Electronic check,73.0,3001.2,1,DSL,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,42,High
1396,2014-07-01,2019-11-01,One year,Yes,Credit card (automatic),100.05,6254.2,1,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,65,Very High
1397,2019-10-01,,Month-to-month,Yes,Credit card (automatic),82.85,319.6,0,Fiber optic,No,No,Yes,No,No,Yes,Female,0,No,No,No,4,High
1398,2018-02-01,,Month-to-month,Yes,Electronic check,84.35,1938.05,0,Fiber optic,Yes,No,No,Yes,No,No,Female,0,No,No,Yes,24,High
1399,2018-12-01,,One year,No,Mailed check,19.55,294.5,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,14,Low
1400,2019-11-01,,Month-to-month,No,Mailed check,19.95,58.3,0,No,No,No,No,No,No,No,Male,0,No,Yes,No,3,Low
1401,2019-07-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),99.8,442.85,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,No,No,No,4,Very High
1402,2018-07-01,2020-01-01,Month-to-month,Yes,Electronic check,35.0,553.0,1,DSL,No,No,No,No,No,Yes,Female,0,No,Yes,Unknown,18,Low
1403,2019-06-01,,Month-to-month,Yes,Electronic check,66.25,546.45,0,DSL,No,No,No,No,Yes,Yes,Male,0,No,No,No,8,Medium
1404,2017-03-01,,Two year,No,Bank transfer (automatic),23.3,797.1,0,No,No,No,No,No,No,No,Female,0,No,No,Yes,36,Low
1405,2019-12-01,2020-01-01,Month-to-month,No,Electronic check,76.0,76.0,1,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,1,High
1406,2014-08-01,,Two year,Yes,Credit card (automatic),25.3,1673.8,0,No,No,No,No,No,No,No,Male,0,No,Yes,Yes,67,Low
1407,2019-06-01,,Two year,Yes,Mailed check,44.55,343.45,0,DSL,Yes,No,No,Yes,No,Yes,Male,0,No,Yes,Unknown,8,Medium
1408,2014-03-01,,One year,Yes,Credit card (automatic),104.1,7412.25,0,Fiber optic,Yes,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,72,Very High
1409,2016-07-01,,Month-to-month,Yes,Bank transfer (automatic),92.55,4039.0,0,Fiber optic,No,No,Yes,No,No,Yes,Female,0,Yes,Yes,Yes,44,High
1410,2019-08-01,2019-10-01,Month-to-month,Yes,Electronic check,93.85,170.85,1,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,Yes,2,Very High
1411,2017-09-01,,Month-to-month,Yes,Bank transfer (automatic),101.45,2948.6,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,No,No,No,29,Very High
1412,2018-10-01,2020-01-01,Month-to-month,Yes,Electronic check,84.3,1308.4,1,Fiber optic,No,No,Yes,No,Yes,No,Female,0,Yes,No,No,15,High
1413,2014-09-01,,Two year,No,Credit card (automatic),94.55,6078.75,0,Fiber optic,Yes,Yes,Yes,Yes,No,No,Male,0,Yes,Yes,Yes,66,Very High
1414,2017-03-01,,Month-to-month,No,Electronic check,95.5,3418.2,0,Fiber optic,No,No,Yes,Yes,Yes,No,Male,0,No,No,Yes,36,Very High
1415,2014-10-01,,One year,Yes,Credit card (automatic),100.3,6603.8,0,Fiber optic,Yes,Yes,No,No,Yes,Yes,Male,0,No,No,No,65,Very High
1416,2015-04-01,,Two year,Yes,Credit card (automatic),55.5,3166.9,0,DSL,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Unknown,59,Medium
1417,2018-08-01,,Month-to-month,Yes,Credit card (automatic),49.85,865.75,0,DSL,No,Yes,No,No,No,No,Female,1,No,No,No,18,Medium
1418,2014-07-01,,Month-to-month,Yes,Bank transfer (automatic),89.55,6373.1,0,Fiber optic,No,Yes,No,No,No,Yes,Male,0,Yes,Yes,Yes,68,High
1419,2014-11-01,,Two year,Yes,Mailed check,19.15,1177.05,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,No,64,Low
1420,2015-02-01,,Month-to-month,Yes,Electronic check,99.8,5985.75,0,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,61,Very High
1421,2019-03-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),84.4,732.5,1,Fiber optic,No,No,No,No,No,Yes,Male,1,No,No,Yes,9,High
1422,2014-04-01,,Two year,Yes,Credit card (automatic),113.05,7869.05,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,71,Very High
1423,2018-10-01,2020-01-01,Month-to-month,Yes,Electronic check,101.1,1504.05,1,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,15,Very High
1424,2016-02-01,,One year,No,Mailed check,19.95,936.7,0,No,No,No,No,No,No,No,Female,0,No,Yes,No,49,Low
1425,2019-02-01,,Month-to-month,Yes,Electronic check,74.15,741.4,0,DSL,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,12,High
1426,2014-03-01,,One year,Yes,Electronic check,92.0,6585.2,0,Fiber optic,Yes,Yes,Yes,Yes,No,No,Male,1,Yes,No,Yes,72,High
1427,2016-06-01,,Month-to-month,No,Electronic check,73.85,3122.4,0,Fiber optic,No,No,Yes,No,No,No,Male,1,No,No,No,45,High
1428,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,50.45,50.45,1,DSL,No,No,No,No,No,No,Male,0,No,No,Yes,1,Medium
1429,2016-05-01,,Two year,No,Mailed check,24.45,1088.25,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,46,Low
1430,2018-03-01,,One year,No,Credit card (automatic),24.8,615.35,0,No,No,No,No,No,No,No,Female,0,No,No,Yes,23,Low
1431,2016-07-01,,One year,Yes,Bank transfer (automatic),64.85,2908.2,0,DSL,No,No,No,Yes,Yes,No,Female,0,Yes,No,Yes,44,Medium
1432,2017-03-01,,Month-to-month,No,Bank transfer (automatic),20.75,739.9,0,No,No,No,No,No,No,No,Male,0,No,No,No,36,Low
1433,2019-05-01,,Month-to-month,Yes,Mailed check,68.95,593.85,0,DSL,Yes,Yes,No,Yes,Yes,No,Male,0,Yes,No,No,9,High
1434,2018-10-01,2019-10-01,Month-to-month,Yes,Mailed check,99.95,1132.75,1,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,12,Very High
1435,2014-09-01,,Month-to-month,Yes,Credit card (automatic),109.4,7227.45,0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,Yes,66,Very High
1436,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,91.4,193.6,1,Fiber optic,No,No,Yes,No,Yes,No,Female,0,No,No,Yes,2,High
1437,2017-11-01,,Month-to-month,No,Mailed check,49.0,1291.35,0,DSL,No,No,No,No,No,No,Male,0,No,No,Yes,27,Medium
1438,2016-10-01,,One year,Yes,Mailed check,50.25,2023.55,0,DSL,No,No,Yes,No,No,No,Female,0,No,No,No,41,Medium
1439,2019-06-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),75.55,349.65,1,Fiber optic,No,No,Yes,No,No,No,Female,1,No,No,No,5,High
1440,2019-06-01,,One year,No,Credit card (automatic),19.9,153.95,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,No,8,Low
1441,2015-04-01,,One year,Yes,Bank transfer (automatic),97.8,5458.8,0,Fiber optic,No,Yes,No,No,Yes,Yes,Female,1,Yes,No,Yes,59,Very High
1442,2015-10-01,,One year,No,Electronic check,100.3,5244.45,0,Fiber optic,Yes,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,No,53,Very High
1443,2019-11-01,,Month-to-month,Yes,Mailed check,55.8,154.55,0,DSL,No,No,Yes,Yes,No,No,Male,0,Yes,No,No,3,Medium
1444,2016-09-01,,Two year,Yes,Electronic check,111.15,4507.15,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,Yes,No,42,Very High
1445,2018-06-01,,Month-to-month,Yes,Mailed check,98.55,2031.95,0,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,20,Very High
1446,2020-01-01,,Month-to-month,Yes,Electronic check,50.05,50.05,0,DSL,No,No,No,No,No,No,Male,0,No,Yes,Yes,1,Medium
1447,2019-09-01,2020-01-01,Month-to-month,No,Credit card (automatic),80.8,332.45,1,Fiber optic,No,No,No,Yes,No,No,Male,0,No,Yes,Yes,4,High
1448,2018-03-01,,Month-to-month,No,Electronic check,20.85,473.9,0,No,No,No,No,No,No,No,Male,0,No,No,No,23,Low
1449,2019-08-01,,Month-to-month,No,Bank transfer (automatic),19.5,106.8,0,No,No,No,No,No,No,No,Female,1,No,No,No,6,Low
1450,2019-06-01,,Month-to-month,Yes,Mailed check,19.35,152.6,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,No,8,Low
1451,2018-08-01,,Month-to-month,No,Mailed check,69.5,1199.4,0,DSL,Yes,No,Yes,No,Yes,No,Male,0,No,No,Yes,18,High
1452,2015-10-01,,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,0,DSL,Yes,No,No,No,Yes,Yes,Male,1,No,No,Unknown,53,Medium
1453,2017-07-01,,Month-to-month,Yes,Electronic check,94.5,2979.2,0,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,No,32,Very High
1454,2017-09-01,,Month-to-month,Yes,Mailed check,20.65,654.85,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,No,29,Low
1455,2017-02-01,,Two year,Yes,Credit card (automatic),106.05,3834.4,0,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Female,0,Yes,No,Yes,36,Very High
1456,2018-08-01,2019-12-01,Month-to-month,Yes,Electronic check,100.0,1534.75,1,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,16,Very High
1457,2016-08-01,,One year,Yes,Electronic check,108.3,4586.15,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,43,Very High
1458,2019-11-01,2019-12-01,Month-to-month,No,Electronic check,20.55,20.55,1,No,No,No,No,No,No,No,Male,0,No,No,No,1,Low
1459,2015-02-01,,Two year,Yes,Electronic check,99.65,5941.05,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,No,No,No,61,Very High
1460,2019-06-01,2019-11-01,Month-to-month,Yes,Electronic check,85.3,424.15,1,Fiber optic,No,Yes,Yes,No,No,No,Male,0,No,No,Yes,5,High
1461,2018-04-01,,Month-to-month,No,Credit card (automatic),95.9,2234.95,0,Fiber optic,Yes,No,No,Yes,Yes,No,Male,0,Yes,No,Yes,22,Very High
1462,2017-02-01,,One year,No,Mailed check,20.0,666.75,0,No,No,No,No,No,No,No,Male,0,Yes,No,No,36,Low
1463,2019-08-01,2019-12-01,Month-to-month,No,Electronic check,70.4,281.0,1,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,4,High
1464,2019-05-01,,Month-to-month,No,Mailed check,64.95,547.8,0,DSL,Yes,No,No,Yes,No,Yes,Male,0,No,No,No,9,Medium
1465,2020-01-01,,Month-to-month,No,Credit card (automatic),74.6,74.6,0,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,1,High
1466,2019-02-01,,Month-to-month,Yes,Electronic check,49.2,571.15,0,DSL,Yes,No,No,No,No,No,Male,0,Yes,Yes,No,12,Medium
1467,2018-03-01,,One year,Yes,Mailed check,73.75,1756.6,0,DSL,No,No,No,Yes,Yes,Yes,Female,0,No,No,Yes,23,High
1468,2014-12-01,,One year,Yes,Bank transfer (automatic),92.3,5731.45,0,Fiber optic,Yes,Yes,No,No,No,Yes,Male,0,No,No,Yes,63,High
1469,2016-10-01,2019-11-01,Month-to-month,No,Bank transfer (automatic),98.8,3475.55,1,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,38,Very High
1470,2019-06-01,,Month-to-month,No,Mailed check,19.2,156.85,0,No,No,No,No,No,No,No,Female,0,No,No,No,8,Low
1471,2017-07-01,,Month-to-month,No,Credit card (automatic),88.65,2683.2,0,Fiber optic,No,No,Yes,No,Yes,No,Male,0,Yes,No,Yes,32,High
1472,2018-11-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),74.4,896.75,1,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,13,High
1473,2017-11-01,2019-11-01,Month-to-month,Yes,Electronic check,98.75,2407.3,1,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,24,Very High
1474,2016-05-01,,Month-to-month,Yes,Bank transfer (automatic),95.95,4456.65,0,Fiber optic,No,Yes,Yes,No,No,Yes,Male,0,Yes,Yes,Yes,46,Very High
1475,2014-05-01,,Two year,No,Credit card (automatic),105.4,6998.95,0,Fiber optic,No,Yes,No,Yes,Yes,Yes,Female,1,Yes,No,Yes,70,Very High
1476,2019-12-01,,Month-to-month,No,Mailed check,20.25,36.8,0,No,No,No,No,No,No,No,Male,0,No,No,No,2,Low
1477,2014-12-01,2020-01-01,One year,Yes,Electronic check,106.0,6547.7,1,Fiber optic,Yes,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,62,Very High
1478,2016-06-01,2019-11-01,Month-to-month,Yes,Electronic check,104.7,4346.4,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,42,Very High
1479,2016-06-01,,One year,Yes,Electronic check,49.05,2265.0,0,DSL,No,No,Yes,No,Yes,Yes,Female,0,No,No,Unknown,45,Medium
1480,2016-11-01,,One year,No,Mailed check,35.55,1309.15,0,DSL,No,No,Yes,Yes,No,No,Male,0,No,No,Unknown,40,Low
1481,2014-02-01,,Two year,Yes,Credit card (automatic),65.1,4754.3,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Unknown,73,Medium
1482,2019-01-01,,Month-to-month,Yes,Electronic check,96.85,1235.55,0,Fiber optic,No,No,Yes,No,Yes,Yes,Female,1,No,No,No,13,Very High
1483,2015-11-01,,One year,Yes,Credit card (automatic),69.75,3562.5,0,DSL,Yes,Yes,No,Yes,No,Yes,Female,0,Yes,Yes,No,52,High
1484,2014-03-01,,Two year,Yes,Electronic check,99.2,7213.75,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,No,72,Very High
1485,2018-01-01,2019-11-01,Month-to-month,Yes,Electronic check,96.7,2082.95,1,Fiber optic,No,No,No,No,Yes,Yes,Male,1,No,No,Yes,22,Very High
1486,2019-10-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),55.05,102.75,1,DSL,No,Yes,No,Yes,No,No,Female,0,No,No,No,2,Medium
1487,2015-06-01,,One year,Yes,Electronic check,106.8,5914.4,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,57,Very High
1488,2020-01-01,,Month-to-month,No,Mailed check,51.25,51.25,0,DSL,Yes,No,No,No,No,No,Male,0,No,No,No,1,Medium
1489,2018-03-01,,One year,Yes,Mailed check,57.75,1282.85,0,DSL,Yes,Yes,No,Yes,No,No,Female,0,Yes,Yes,No,23,Medium
1490,2014-08-01,,One year,Yes,Bank transfer (automatic),70.85,4738.85,0,DSL,No,Yes,Yes,No,Yes,No,Female,1,Yes,No,Yes,67,High
1491,2020-01-01,,Month-to-month,No,Mailed check,19.55,19.55,0,No,No,No,No,No,No,No,Female,0,No,No,No,1,Low
1492,2018-03-01,2019-10-01,Month-to-month,Yes,Electronic check,88.2,1775.8,1,Fiber optic,No,Yes,No,No,Yes,No,Male,1,No,No,Yes,19,High
1493,2019-03-01,,Month-to-month,Yes,Bank transfer (automatic),79.5,795.65,0,Fiber optic,Yes,No,Yes,No,No,No,Male,0,No,No,No,11,High
1494,2019-02-01,2019-10-01,One year,Yes,Mailed check,19.75,145.0,1,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,8,Low
1495,2015-10-01,,Month-to-month,No,Bank transfer (automatic),98.15,4993.4,0,Fiber optic,Yes,Yes,Yes,No,No,Yes,Female,0,Yes,Yes,Yes,53,Very High
1496,2019-11-01,,Month-to-month,Yes,Electronic check,20.25,61.45,0,No,No,No,No,No,No,No,Male,0,No,No,No,3,Low
1497,2015-11-01,,Month-to-month,Yes,Bank transfer (automatic),79.15,4018.55,0,Fiber optic,Yes,Yes,No,No,No,No,Female,0,Yes,Yes,No,52,High
1498,2018-10-01,2020-01-01,Month-to-month,No,Electronic check,75.65,1146.65,1,Fiber optic,No,No,No,No,No,No,Male,1,No,No,Yes,15,High
1499,2014-10-01,,Month-to-month,Yes,Electronic check,94.25,6081.4,0,Fiber optic,No,Yes,Yes,No,No,Yes,Male,1,Yes,No,Yes,65,Very High
1500,2017-01-01,,Month-to-month,Yes,Credit card (automatic),40.2,1478.85,0,DSL,No,No,Yes,No,No,Yes,Female,0,No,No,Unknown,38,Low
1501,2019-01-01,,Two year,No,Mailed check,19.95,243.65,0,No,No,No,No,No,No,No,Male,0,No,No,No,13,Low
1502,2016-01-01,,One year,Yes,Electronic check,55.35,2633.95,0,DSL,Yes,No,No,No,No,No,Male,0,Yes,No,Yes,50,Medium
1503,2016-05-01,,One year,Yes,Bank transfer (automatic),102.15,4735.35,0,Fiber optic,No,No,Yes,No,Yes,Yes,Female,1,No,No,Yes,46,Very High
1504,2018-08-01,,Month-to-month,Yes,Electronic check,71.1,1247.75,0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,18,High
1505,2019-09-01,2019-10-01,Month-to-month,Yes,Electronic check,74.7,74.7,1,Fiber optic,No,No,No,No,No,No,Male,1,No,No,Yes,1,High
1506,2014-06-01,,Two year,Yes,Bank transfer (automatic),54.1,3794.5,0,DSL,Yes,No,Yes,No,Yes,Yes,Male,0,Yes,No,Unknown,69,Medium
1507,2015-08-01,,Two year,No,Credit card (automatic),19.65,1008.7,0,No,No,No,No,No,No,No,Male,0,No,No,No,55,Low
1508,2018-03-01,,Month-to-month,Yes,Bank transfer (automatic),88.45,2130.55,0,Fiber optic,No,Yes,Yes,No,No,Yes,Female,1,Yes,Yes,No,23,High
1509,2018-05-01,2019-10-01,Month-to-month,Yes,Electronic check,76.65,1313.55,1,Fiber optic,No,No,Yes,No,No,No,Male,0,No,No,No,17,High
1510,2014-03-01,,Two year,No,Credit card (automatic),80.4,5727.15,0,DSL,Yes,Yes,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,72,High
1511,2014-07-01,,Two year,Yes,Bank transfer (automatic),19.25,1372.9,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,68,Low
